daily_screen_time,app_opens,sleep_hours,stress_level,study_interruptions,night_usage,addiction_level
5.0,61,5.3,4,12,Yes,Moderate
8.5,35,5.8,10,8,No,Moderate
2.2,53,4.0,2,5,No,Moderate
8.0,24,6.5,8,9,Yes,High
7.3,40,6.2,10,13,Yes,High
7.6,69,8.1,8,2,No,Moderate
1.5,48,6.4,10,13,No,Moderate
4.1,22,7.2,8,11,No,Moderate
1.9,74,5.1,3,10,Yes,Moderate
2.9,57,4.9,6,12,Yes,High
2.4,30,5.3,6,5,No,Moderate
10.7,52,3.8,5,8,No,High
3.7,36,8.3,5,8,Yes,Moderate
7.5,51,7.5,5,7,Yes,Moderate
10.3,34,5.5,3,15,No,Moderate
10.3,26,6.8,10,9,Yes,High
11.0,65,3.6,6,13,No,High
5.8,23,4.3,1,11,Yes,Moderate
1.7,78,7.1,7,9,No,Moderate
4.2,11,5.4,4,3,No,Low
4.3,49,3.1,9,6,Yes,High
2.6,17,3.5,5,13,Yes,Moderate
9.4,62,7.5,3,0,Yes,Moderate
2.3,79,8.4,3,11,Yes,Moderate
3.5,55,3.4,1,5,Yes,Moderate
2.6,68,4.8,9,5,Yes,High
10.6,63,7.4,8,9,No,High
10.9,70,7.9,8,7,No,Moderate
3.0,31,4.8,8,15,No,Moderate
10.6,65,6.7,7,8,Yes,High
3.3,75,7.6,8,3,Yes,Moderate
2.1,76,4.6,4,11,Yes,Moderate
5.2,73,3.4,3,14,Yes,High
8.4,51,5.3,1,2,Yes,Moderate
4.3,63,7.5,6,5,No,Moderate
7.4,46,7.4,9,1,No,Moderate
7.4,35,5.8,9,0,Yes,Moderate
11.6,27,8.6,6,3,No,Moderate
3.6,5,8.9,4,5,No,Low
9.3,17,7.3,9,9,No,Moderate
2.0,53,8.0,3,10,No,Moderate
4.6,41,8.5,9,11,No,Moderate
9.8,33,6.5,8,7,No,Moderate
9.0,57,6.4,8,2,No,Moderate
8.3,15,8.1,5,0,No,Low
5.4,60,3.2,9,6,No,High
9.7,47,4.9,8,6,Yes,High
5.1,70,4.9,8,1,No,Moderate
10.7,25,3.5,3,4,Yes,Moderate
10.2,38,3.2,5,5,Yes,High
10.4,42,3.1,10,6,Yes,High
4.2,45,7.1,9,3,No,Moderate
5.5,42,6.8,6,3,Yes,Moderate
5.6,23,5.1,5,15,Yes,Moderate
5.0,49,7.0,8,9,No,Moderate
3.5,60,8.4,6,13,No,Moderate
5.1,20,8.3,1,12,Yes,Moderate
2.2,8,7.2,8,12,No,Moderate
8.7,33,6.1,10,6,Yes,High
3.4,49,6.0,6,15,Yes,Moderate
1.8,33,6.0,9,15,Yes,Moderate
9.6,64,8.1,2,9,No,Moderate
8.9,40,7.9,7,11,No,Moderate
1.3,16,4.6,7,3,No,Low
4.8,5,4.2,7,7,Yes,Moderate
6.1,36,3.9,3,6,Yes,Moderate
6.3,64,7.6,9,6,Yes,Moderate
1.5,58,6.4,8,12,Yes,High
1.6,48,3.4,8,8,Yes,Moderate
6.5,23,8.7,5,8,Yes,Moderate
9.2,12,3.8,1,0,Yes,Moderate
12.0,44,8.6,1,9,Yes,Moderate
11.2,76,4.4,6,0,No,Moderate
5.1,38,7.7,7,11,Yes,Moderate
4.2,57,7.9,6,7,Yes,Moderate
5.7,49,6.7,8,7,No,Moderate
5.2,80,3.9,7,10,No,High
2.3,44,7.5,1,12,No,Low
4.1,29,9.0,2,0,Yes,Low
6.7,74,7.6,4,11,Yes,Moderate
4.8,13,7.8,6,0,No,Low
1.3,42,3.5,9,3,Yes,Moderate
1.3,43,6.7,7,5,Yes,Moderate
9.1,30,6.4,7,7,Yes,Moderate
10.3,37,6.7,7,1,Yes,Moderate
4.9,76,3.2,9,0,No,Moderate
10.8,34,4.5,1,0,No,Moderate
5.9,48,5.9,6,13,Yes,Moderate
7.2,56,5.2,10,0,No,Moderate
8.6,35,7.7,9,7,Yes,Moderate
6.2,52,8.9,4,0,No,Low
8.3,42,9.0,1,2,Yes,Moderate
9.0,32,5.9,2,13,Yes,Moderate
4.8,53,6.5,4,11,No,Moderate
6.6,15,3.4,9,12,Yes,High
11.1,77,8.6,2,0,No,Moderate
11.8,44,6.8,1,14,No,Moderate
10.8,67,5.0,10,15,No,High
2.0,53,7.6,2,0,No,Low
11.7,75,5.4,2,13,Yes,High
2.8,18,8.6,9,5,No,Low
2.3,10,6.5,4,8,Yes,Low
10.2,38,7.9,3,6,Yes,Moderate
5.2,67,8.7,5,3,No,Moderate
11.3,61,4.1,7,5,No,High
5.5,61,3.9,1,13,Yes,High
11.8,68,4.2,10,12,No,High
8.9,74,6.2,1,10,No,Moderate
10.4,66,4.5,10,2,No,High
4.4,60,5.0,7,3,No,Moderate
8.8,24,8.4,2,7,Yes,Moderate
6.0,26,3.3,6,14,No,Moderate
9.3,28,7.3,6,12,Yes,Moderate
3.8,54,5.0,2,0,No,Low
3.8,6,3.4,3,12,Yes,Moderate
10.9,62,4.0,5,10,No,High
4.5,30,5.9,7,9,Yes,Moderate
11.6,34,3.9,9,14,No,High
4.8,8,7.1,2,1,Yes,Low
9.7,80,8.5,5,1,No,Moderate
2.1,7,9.0,6,2,Yes,Low
3.9,41,4.2,1,8,Yes,Moderate
10.3,36,4.8,5,5,No,Moderate
9.3,15,7.9,3,7,No,Low
11.9,72,5.2,3,0,Yes,Moderate
10.5,29,5.4,6,11,Yes,High
7.3,80,6.4,8,12,Yes,High
7.1,61,4.8,4,12,No,High
6.5,71,8.3,10,0,Yes,Moderate
3.9,51,7.6,6,15,No,Moderate
4.7,75,7.0,5,1,No,Moderate
4.7,23,5.7,2,0,Yes,Low
10.7,23,8.7,10,11,No,Moderate
3.7,71,4.2,4,15,No,Moderate
8.2,37,7.1,9,0,Yes,Moderate
5.1,78,5.9,6,12,No,Moderate
2.4,54,4.2,6,2,No,Moderate
9.0,78,6.8,9,11,Yes,High
4.1,32,5.3,5,7,Yes,Moderate
5.7,42,7.7,1,9,No,Moderate
10.5,72,8.0,5,7,No,Moderate
10.4,22,7.8,1,6,No,Low
6.6,10,9.0,8,15,No,Moderate
7.8,27,5.7,10,6,Yes,High
6.5,18,6.7,4,7,Yes,Moderate
3.3,63,5.0,8,1,No,Moderate
9.7,18,8.6,2,8,No,Low
4.1,31,3.6,8,3,No,Moderate
11.1,19,9.0,9,14,Yes,Moderate
2.9,30,5.8,10,8,Yes,Moderate
1.4,80,4.5,9,11,Yes,High
8.4,11,7.6,2,2,Yes,Low
3.7,34,7.6,1,3,Yes,Low
11.3,46,8.7,1,2,No,Low
5.3,40,5.0,3,9,No,Moderate
11.9,37,5.9,5,7,Yes,Moderate
6.3,62,8.1,9,1,No,Moderate
8.4,73,8.7,7,3,Yes,Moderate
5.1,18,5.0,4,9,No,Moderate
9.8,21,7.4,5,14,No,Moderate
1.4,9,6.7,9,7,Yes,Moderate
2.8,44,8.7,8,9,Yes,Moderate
2.7,53,8.9,2,15,No,Moderate
11.6,66,6.5,1,9,No,Moderate
6.2,28,9.0,6,8,No,Moderate
6.7,45,4.8,7,10,No,Moderate
2.9,68,8.0,6,1,Yes,Moderate
6.5,77,7.0,7,1,Yes,Moderate
10.7,5,3.5,10,12,No,High
9.9,48,4.9,7,6,Yes,High
7.3,56,3.1,10,6,Yes,High
10.8,40,7.7,5,6,Yes,Moderate
8.7,50,5.2,10,13,No,High
7.6,72,5.2,4,6,Yes,Moderate
8.6,41,6.0,4,5,No,Moderate
11.2,55,3.2,10,2,Yes,High
10.7,73,7.6,5,9,No,Moderate
10.4,61,3.9,4,15,No,High
4.8,38,5.3,6,8,No,Moderate
4.5,54,7.8,9,7,No,Moderate
6.4,79,5.8,1,5,Yes,Moderate
6.6,68,8.3,1,6,No,Moderate
5.0,61,4.9,3,10,No,Moderate
7.4,36,8.8,6,11,Yes,Moderate
6.3,11,6.9,4,14,No,Moderate
7.3,77,5.6,6,12,Yes,High
8.3,13,6.6,3,11,Yes,Moderate
8.4,56,8.3,4,6,Yes,Moderate
11.9,62,8.7,5,8,Yes,Moderate
3.7,31,5.2,10,6,No,Moderate
11.4,68,8.8,4,12,Yes,Moderate
11.4,54,3.3,6,5,No,High
1.3,44,3.6,3,12,Yes,Moderate
4.1,10,5.8,10,0,No,Moderate
8.1,67,3.5,9,5,Yes,High
4.8,69,7.5,6,15,Yes,Moderate
3.4,16,7.1,5,14,Yes,Moderate
7.0,40,5.6,4,4,Yes,Moderate
3.4,13,6.5,3,9,No,Low
9.0,63,8.0,8,7,Yes,High
4.0,72,3.9,3,7,Yes,Moderate
8.9,13,5.4,6,10,No,Moderate
9.4,53,5.1,4,11,No,Moderate
2.2,23,7.7,10,0,Yes,Low
8.5,11,3.9,10,7,No,Moderate
8.5,38,3.4,1,3,Yes,Moderate
7.9,20,4.0,1,14,No,Moderate
2.3,51,3.7,4,10,Yes,Moderate
9.1,74,4.3,7,8,Yes,High
10.6,26,7.6,1,3,No,Low
8.0,23,5.2,7,13,Yes,Moderate
11.1,60,7.8,7,12,No,Moderate
11.5,48,3.5,4,7,No,Moderate
9.5,22,6.9,5,15,Yes,Moderate
7.4,49,7.5,6,7,No,Moderate
7.7,59,6.6,7,0,No,Moderate
1.7,66,9.0,7,4,No,Moderate
3.8,61,3.8,10,14,Yes,High
7.8,8,3.0,8,7,No,Moderate
5.6,46,8.2,10,8,No,Moderate
2.4,27,3.9,5,7,Yes,Moderate
10.9,24,3.3,9,12,Yes,High
6.0,70,7.9,8,2,Yes,Moderate
2.8,40,4.1,3,13,No,Moderate
7.1,33,5.2,10,14,No,High
8.3,17,8.1,8,14,Yes,Moderate
4.5,20,7.7,10,7,Yes,Moderate
9.2,27,5.7,4,10,No,Moderate
7.5,30,6.9,4,12,No,Moderate
1.2,40,7.2,3,3,Yes,Low
3.3,30,4.7,7,11,No,Moderate
6.7,60,8.0,4,0,Yes,Moderate
10.3,76,3.3,1,6,Yes,High
11.2,14,5.1,1,13,Yes,Moderate
10.8,52,5.9,9,11,No,High
7.8,28,5.8,5,6,No,Moderate
9.8,42,9.0,1,10,No,Moderate
11.8,56,5.8,1,7,Yes,Moderate
2.5,17,7.0,10,10,No,Moderate
10.5,6,5.0,1,15,Yes,Moderate
9.9,12,4.9,8,14,Yes,High
6.4,41,9.0,8,10,No,Moderate
9.0,72,7.2,7,4,No,Moderate
6.0,46,8.8,2,11,Yes,Moderate
10.7,36,8.0,1,13,Yes,Moderate
5.0,69,8.4,1,0,No,Low
11.3,51,6.4,4,6,Yes,Moderate
3.2,58,8.4,6,5,Yes,Moderate
11.3,36,4.5,8,14,No,High
9.2,76,5.2,1,5,Yes,Moderate
8.3,65,4.8,1,1,No,Moderate
4.1,22,5.5,2,3,No,Low
5.2,52,4.2,10,0,Yes,High
10.6,55,5.0,8,7,No,High
7.2,57,5.8,3,5,Yes,Moderate
7.3,35,6.1,1,0,Yes,Moderate
5.2,33,6.1,1,0,No,Low
7.3,10,5.6,9,11,No,Moderate
1.1,77,9.0,4,8,No,Low
11.5,6,8.7,7,7,No,Moderate
1.1,12,5.2,10,12,No,Moderate
2.3,64,3.3,2,12,No,Moderate
3.5,40,7.6,6,12,Yes,Moderate
5.6,73,5.1,3,14,Yes,Moderate
2.5,69,3.2,4,14,Yes,Moderate
11.7,60,5.3,6,10,No,High
7.6,49,3.5,5,2,Yes,Moderate
6.8,40,4.1,4,5,No,Moderate
3.6,38,9.0,1,8,Yes,Low
11.2,56,4.3,7,11,No,High
10.2,58,4.7,5,15,No,High
6.5,35,5.9,1,2,No,Low
3.1,28,3.5,1,1,Yes,Moderate
4.3,41,4.1,6,3,No,Moderate
3.7,70,3.2,8,3,No,Moderate
8.6,54,7.4,1,0,Yes,Moderate
10.6,11,5.2,5,7,No,Moderate
4.1,42,3.7,4,9,No,Moderate
11.0,45,8.9,8,11,No,Moderate
8.0,63,5.9,4,13,No,Moderate
5.0,26,7.5,4,13,Yes,Moderate
6.9,20,6.9,5,3,No,Low
4.9,63,7.6,2,12,No,Moderate
8.5,25,4.7,2,8,Yes,Moderate
4.3,18,7.3,8,1,No,Low
5.6,63,7.3,2,1,Yes,Moderate
5.4,16,7.9,9,13,No,Moderate
3.9,47,3.4,2,15,Yes,Moderate
2.4,8,8.1,2,9,Yes,Low
6.9,40,8.7,5,12,Yes,Moderate
4.1,55,6.7,2,0,No,Moderate
4.9,41,5.7,3,1,No,Low
6.6,53,3.9,6,1,Yes,Moderate
8.5,22,3.8,2,14,Yes,Moderate
11.1,80,4.3,4,15,No,High
5.0,32,3.6,4,13,Yes,Moderate
3.6,40,5.3,1,5,No,Low
1.8,31,3.4,4,12,No,Moderate
1.3,13,3.3,2,8,No,Low
6.4,28,6.7,3,9,No,Moderate
11.3,46,7.2,6,3,Yes,Moderate
8.0,7,7.3,9,12,No,Moderate
7.0,48,4.7,7,6,No,Moderate
4.8,80,7.0,10,8,No,Moderate
10.0,12,3.6,8,8,No,Moderate
11.4,17,8.8,2,3,No,Low
2.4,47,4.5,7,2,Yes,Moderate
2.7,10,5.9,1,3,No,Low
9.3,44,6.0,10,10,Yes,High
6.8,55,8.1,3,15,No,Moderate
5.0,69,4.2,5,12,Yes,High
8.8,15,3.1,7,15,No,Moderate
10.6,42,3.0,5,8,No,Moderate
6.8,27,4.2,6,7,Yes,Moderate
9.2,24,7.2,6,9,Yes,Moderate
7.7,71,6.5,1,11,Yes,High
10.0,60,3.1,5,3,Yes,High
3.8,12,3.3,5,8,No,Moderate
3.7,14,4.3,7,3,No,Low
4.5,17,5.7,3,10,No,Moderate
9.1,52,7.2,10,12,Yes,High
10.4,39,8.4,8,2,Yes,Moderate
9.5,68,5.0,7,10,No,High
1.3,52,5.4,4,5,No,Moderate
7.5,69,8.0,7,10,Yes,High
1.6,74,4.1,5,8,Yes,Moderate
8.8,48,5.5,5,3,No,Moderate
7.6,33,3.6,8,7,No,High
2.9,23,8.3,8,15,No,Moderate
8.7,75,5.4,10,9,Yes,High
5.0,27,7.9,8,6,Yes,Moderate
9.3,45,6.1,6,11,No,Moderate
2.8,75,6.5,8,12,No,Moderate
5.5,24,4.1,9,13,No,Moderate
1.1,34,5.7,5,7,Yes,Moderate
7.5,52,6.5,6,9,No,High
8.6,52,5.2,4,11,No,Moderate
5.6,78,5.8,4,5,Yes,Moderate
4.8,33,8.4,9,4,Yes,Moderate
9.6,21,7.3,10,0,No,Moderate
7.5,69,5.5,3,6,No,Moderate
8.1,79,3.7,9,14,Yes,High
4.9,76,6.5,6,9,No,Moderate
4.8,23,3.3,7,3,Yes,Moderate
11.2,47,8.9,1,9,No,Moderate
6.2,5,5.6,3,13,No,Moderate
4.0,18,4.8,10,15,Yes,Moderate
2.2,40,6.7,10,2,Yes,Moderate
3.1,6,4.3,3,2,Yes,Low
6.5,37,8.8,2,0,No,Low
3.8,70,7.0,7,8,No,Moderate
1.7,23,6.3,7,3,No,Low
10.1,25,3.0,1,4,Yes,Moderate
2.7,62,3.7,2,15,No,Moderate
2.7,51,3.8,3,11,No,Moderate
3.0,50,5.3,6,6,No,Moderate
10.9,13,8.4,10,0,No,Moderate
9.9,5,6.5,9,9,Yes,High
7.1,56,9.0,3,4,Yes,Moderate
5.4,37,5.2,8,0,No,Moderate
11.1,54,5.2,4,2,No,Moderate
2.1,49,5.8,5,2,Yes,Moderate
5.4,70,8.0,9,7,Yes,Moderate
4.0,48,3.3,10,8,Yes,Moderate
1.9,57,7.7,10,11,Yes,Moderate
6.0,7,8.9,8,0,Yes,Moderate
6.0,9,7.8,4,6,Yes,Low
6.4,16,8.6,8,1,No,Low
11.4,14,5.7,6,15,No,Moderate
9.0,21,4.9,7,7,Yes,Moderate
5.7,74,3.5,6,4,Yes,High
7.5,18,3.1,7,9,Yes,High
2.9,66,7.1,1,6,No,Low
1.1,30,3.0,5,5,Yes,Moderate
10.1,21,5.2,8,1,Yes,Moderate
12.0,5,3.8,2,5,Yes,Moderate
10.6,30,6.0,1,6,No,Moderate
11.6,20,6.9,6,3,No,Moderate
2.7,23,5.5,3,9,Yes,Moderate
11.8,42,7.1,3,9,No,Moderate
5.4,68,5.1,1,8,No,Moderate
7.8,75,8.5,10,2,Yes,Moderate
7.3,53,5.6,10,9,Yes,High
10.9,67,6.0,1,12,No,Moderate
9.5,38,8.0,9,6,No,Moderate
10.8,14,7.3,9,15,No,Moderate
5.9,63,6.0,10,4,No,Moderate
3.5,46,3.1,8,4,No,Moderate
8.1,74,7.6,4,9,No,Moderate
2.2,66,8.1,7,12,Yes,Moderate
6.9,5,7.8,6,10,Yes,Moderate
10.4,59,3.6,8,5,Yes,High
3.2,31,6.4,7,14,No,Moderate
1.9,71,5.4,10,11,Yes,High
9.0,64,3.2,3,3,No,Moderate
10.7,68,3.0,3,14,Yes,High
7.1,67,7.0,8,3,Yes,Moderate
8.0,35,3.8,9,15,Yes,High
8.9,27,6.7,10,0,Yes,Moderate
9.3,71,4.2,8,6,Yes,High
